"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTML hreflang 2","HTML hreflang 2 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://www.jizayn.com/tr","Doğal Ahşap, Eşsiz Tasarım | Jizayn","2","en","https://www.jizayn.com/en","tr","https://www.jizayn.com/tr","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/dekoratif-ahsap-ciceklik","Dekoratif Ahşap Çiçeklik | Jizayn","2","en","https://www.jizayn.com/en/products/decorative-wooden-plant-stand","tr","https://www.jizayn.com/tr/urunler/dekoratif-ahsap-ciceklik","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/masif-mese-yan-sehpa","Masif Meşe Yan Sehpa | Jizayn","2","en","https://www.jizayn.com/en/products/solid-oak-side-table","tr","https://www.jizayn.com/tr/urunler/masif-mese-yan-sehpa","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/dogal-ahsap-bardak-altligi-seti","Doğal Ahşap Bardak Altlığı (4'lü Set) | Jizayn","2","en","https://www.jizayn.com/en/products/natural-wood-coaster-set","tr","https://www.jizayn.com/tr/urunler/dogal-ahsap-bardak-altligi-seti","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/ahsap-masaustu-duzenleyici","Ahşap Masaüstü Düzenleyici | Jizayn","2","en","https://www.jizayn.com/en/products/wooden-desktop-organizer","tr","https://www.jizayn.com/tr/urunler/ahsap-masaustu-duzenleyici","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/geometrik-ahsap-duvar-sanati","Geometrik Ahşap Duvar Sanatı | Jizayn","2","en","https://www.jizayn.com/en/products/geometric-wooden-wall-art","tr","https://www.jizayn.com/tr/urunler/geometrik-ahsap-duvar-sanati","","","","","Indexable",""
"https://www.jizayn.com/tr/kvkk-aydinlatma-metni","KVKK Aydınlatma Metni - Kişisel Verilerin Korunması | Jizayn","2","en","https://www.jizayn.com/en/data-protection","tr","https://www.jizayn.com/tr/kvkk-aydinlatma-metni","","","","","Indexable",""
"https://www.jizayn.com/tr/hakkimizda","Hakkımızda - El Yapımı Ahşap Dekorasyon Atölyesi | Jizayn","2","en","https://www.jizayn.com/en/about-us","tr","https://www.jizayn.com/tr/hakkimizda","","","","","Indexable",""
"https://www.jizayn.com/tr/iletisim","İletişim - El Yapımı Ahşap Ürünler İçin Bize Ulaşın | Jizayn","2","en","https://www.jizayn.com/en/contact","tr","https://www.jizayn.com/tr/iletisim","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/kumikomodelA","Kumiko | Jizayn","1","tr","https://www.jizayn.com/tr/urunler/kumikomodelA","","","","","","","Indexable",""
"https://www.jizayn.com/tr/gizlilik-politikasi","Gizlilik Politikası - Kişisel Verilerinizin Korunması | Jizayn","2","en","https://www.jizayn.com/en/privacy-policy","tr","https://www.jizayn.com/tr/gizlilik-politikasi","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/modern-ahsap-duvar-saati","Modern Ahşap Duvar Saati | Jizayn","2","en","https://www.jizayn.com/en/products/modern-wooden-wall-clock","tr","https://www.jizayn.com/tr/urunler/modern-ahsap-duvar-saati","","","","","Indexable",""
"https://www.jizayn.com/tr/cerez-politikasi","Çerez Politikası - Gizlilik ve Veri Toplama | Jizayn","2","en","https://www.jizayn.com/en/cookie-policy","tr","https://www.jizayn.com/tr/cerez-politikasi","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler","El Yapımı Ahşap Ürünler - Dekorasyon ve Mobilya | Jizayn","2","en","https://www.jizayn.com/en/products","tr","https://www.jizayn.com/tr/urunler","","","","","Indexable",""
"https://www.jizayn.com/tr/kullanim-kosullari","Kullanım Koşulları - Satış ve Hizmet Kuralları | Jizayn","2","en","https://www.jizayn.com/en/terms-of-use","tr","https://www.jizayn.com/tr/kullanim-kosullari","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/ergonomik-ahsap-laptop-standi","Ergonomik Ahşap Laptop Standı | Jizayn","2","en","https://www.jizayn.com/en/products/ergonomic-wooden-laptop-stand","tr","https://www.jizayn.com/tr/urunler/ergonomik-ahsap-laptop-standi","","","","","Indexable",""
"https://www.jizayn.com/tr/urunler/el-yapimi-ahsap-dekoratif-kutu","El Yapımı Ahşap Dekoratif Kutu | Jizayn","2","en","https://www.jizayn.com/en/products/handmade-wooden-decorative-box","tr","https://www.jizayn.com/tr/urunler/el-yapimi-ahsap-dekoratif-kutu","","","","","Indexable",""
